,tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
1,2021-12-13,600703.SH,三安光电,信息技术,1616.5942780572,0.4574,剔除,6.9650266745702405,-2.0190689848569865
2,2021-12-13,601727.SH,上海电气,工业,742.8924326516001,0.1241,剔除,-2.0703933747411973,5.769230769230793
3,2021-12-13,600233.SH,圆通速递,工业,592.7052039658,0.1054,剔除,4.101326899879387,-3.749300503637387
4,2021-12-13,600522.SH,中天科技,信息技术,572.48480801,0.2226,剔除,9.90712074303406,7.971864009378682
5,2021-12-13,002384.SZ,东山精密,信息技术,446.78833254509993,0.1662,剔除,12.921348314606739,0.038255547054322214
6,2021-12-13,601077.SH,渝农商行,金融,436.1088,0.1197,剔除,-0.25974025974028203,-0.7772020725388407
7,2021-12-13,002939.SZ,长城证券,金融,421.4424466658,0.059,剔除,6.0109289617486406,-1.9565217391304346
8,2021-12-13,002153.SZ,石基信息,信息技术,420.3258427967999,0.0637,剔除,6.618486116394062,0.8462623413258097
9,2021-12-13,600482.SH,中国动力,工业,418.52412567550004,0.0583,剔除,4.986449864498654,-0.0514933058702427
10,2021-12-13,002945.SZ,华林证券,金融,414.45,0.0144,剔除,41.08455882352941,14.365411436541153
11,2021-12-13,002673.SZ,西部证券,金融,362.930034446,0.0711,剔除,3.1766200762388674,-0.9791921664626613
12,2021-12-13,600705.SH,中航产融,金融,346.9870129903,0.104,剔除,0.2577319587629079,0.2557544757033181
13,2021-12-13,601872.SH,招商轮船,工业,346.20484490269996,0.0723,剔除,-2.2883295194508158,-5.045871559633042
14,2021-12-13,601555.SH,东吴证券,金融,343.8139752488,0.1393,剔除,-3.59085963003265,-0.3370786516853963
15,2021-12-13,002508.SZ,老板电器,可选消费,341.553755595,0.074,剔除,14.03675538656528,-4.475484606613456
16,2021-12-13,000728.SZ,国元证券,金融,332.5198752942,0.1156,剔除,1.1952191235059972,-0.3926701570680535
17,2021-12-13,600299.SH,安迪苏,医疗保健,326.6555750514,0.0241,剔除,2.784810126582271,-4.095004095004096
18,2021-12-13,002739.SZ,万达电影,可选消费,323.678214912,0.0636,剔除,3.7169406719085085,-1.2261580381471404
19,2021-12-13,600118.SH,中国卫星,工业,302.953716387,0.0769,剔除,-0.5434782608695676,-0.8560311284046551
20,2021-12-13,600521.SH,华海药业,医疗保健,299.84291399100005,0.0925,剔除,-3.2723772858517908,-5.765503875968991
21,2021-12-13,002463.SZ,沪电股份,信息技术,297.77542736099997,0.0981,剔除,2.614379084967311,-2.9900332225913706
22,2021-12-13,002456.SZ,欧菲光,信息技术,297.5184254544,0.0883,剔除,6.666666666666643,-3.646408839779003
23,2021-12-13,000860.SZ,顺鑫农业,日常消费,282.5390461101,0.085,剔除,-4.127863075761374,-4.420030659172214
24,2021-12-13,300136.SZ,信维通信,信息技术,247.1170301452,0.1245,剔除,4.032586558044793,-0.5600000000000049
25,2021-12-13,000656.SZ,金科股份,房地产,239.21926855680005,0.0676,剔除,3.2258064516129226,-5.579399141630892
26,2021-12-13,002558.SZ,巨人网络,信息技术,215.1915867716,0.0619,剔除,8.248472505091664,7.751937984496116
27,2021-12-13,002773.SZ,康弘药业,医疗保健,171.8478130026,0.0347,剔除,1.7973856209150485,-2.2945570971184437
28,2021-12-13,600340.SH,华夏幸福,房地产,142.850792483,0.033,剔除,6.413994169096204,-8.571428571428575
29,2021-12-13,300750.SZ,宁德时代,工业,15345.39196032,3.708,纳入,0.16431353456669573,1.7563872177513984
30,2021-12-13,300760.SZ,迈瑞医疗,医疗保健,4463.2889139924,0.835,纳入,5.691337766646498,-3.893790981947687
31,2021-12-13,688981.SH,中芯国际,信息技术,4426.8793718355,0.463,纳入,3.645447816432279,-5.159574468085104
32,2021-12-13,601728.SH,中国电信,电信服务,4026.3141027560005,0.091,纳入,1.616628175519641,-2.0270270270270396
33,2021-12-13,300999.SZ,金龙鱼,日常消费,3496.92654072,0.123,纳入,5.409380617748005,-3.2212885154061843
34,2021-12-13,600905.SH,三峡能源,公用事业,2082.8259,0.29,纳入,8.000000000000007,7.703488372093026
35,2021-12-13,002466.SZ,天齐锂业,材料,1769.565060834,0.499,纳入,5.494892567805554,-8.525937339496647
36,2021-12-13,688599.SH,天合光能,信息技术,1760.717655675,0.294,纳入,21.437740693196417,-0.7520650967821507
37,2021-12-13,603260.SH,合盛硅业,材料,1523.8112875322,0.096,纳入,2.670623145400608,-6.074317839023724
38,2021-12-13,002459.SZ,晶澳科技,信息技术,1491.18682643,0.267,纳入,10.094451003541916,0.9119530995548741
39,2021-12-13,300759.SZ,康龙化成,医疗保健,1386.6332131079998,0.168,纳入,2.5369978858350795,-10.789295392953935
40,2021-12-13,300896.SZ,爱美客,医疗保健,1319.774364,0.209,纳入,10.967800618519185,-6.200823045267489
41,2021-12-13,300782.SZ,卓胜微,信息技术,1214.1612355599998,0.344,纳入,-0.3449597546952954,-5.533063427800267
42,2021-12-13,000301.SZ,东方盛虹,材料,1198.5725174103,0.126,纳入,8.347902097902104,1.7717346518335342
43,2021-12-13,002709.SZ,天赐材料,材料,1189.288275615,0.296,纳入,-5.387947412417359,-5.895061728395056
44,2021-12-13,601868.SH,中国能建,工业,1121.4923018084,0.16,纳入,-3.237410071942437,3.4220532319391817
45,2021-12-13,601865.SH,福莱特,材料,1099.6387246988002,0.133,纳入,8.978723404255318,-2.150965943039229
46,2021-12-13,300316.SZ,晶盛机电,信息技术,965.4581088939999,0.201,纳入,10.424937509189803,-6.056581219285439
47,2021-12-13,603486.SH,科沃斯,可选消费,931.0832613375,0.156,纳入,2.050156739811926,-14.193365466402053
48,2021-12-13,601898.SH,中煤能源,能源,859.16138832,0.052,纳入,-0.3076923076922977,9.922480620155039
49,2021-12-13,605499.SH,东鹏饮料,日常消费,782.459561,0.036,纳入,4.130955549640669,-6.147519375757893
50,2021-12-13,688561.SH,奇安信-U,信息技术,679.8994612032001,0.108,纳入,6.042553191489364,-1.6913319238900604
51,2021-12-13,002791.SZ,坚朗五金,工业,600.861798,0.105,纳入,15.50871553962172,-4.633333333333334
52,2021-12-13,601966.SH,玲珑轮胎,可选消费,537.0499993714,0.113,纳入,-0.9113924050632938,-5.351833498513359
53,2021-12-13,002064.SZ,华峰化学,材料,515.7106892973001,0.065,纳入,3.727865796831309,-1.9213174748398898
54,2021-12-13,002568.SZ,百润股份,日常消费,506.6298069353999,0.101,纳入,10.40849673202613,-9.568261376896148
55,2021-12-13,300866.SZ,安克创新,信息技术,464.3430839975,0.075,纳入,5.163843888070696,-9.935407105218431
56,2021-12-13,300888.SZ,稳健医疗,可选消费,350.2781325604,0.032,纳入,1.3075120266436313,-3.890489913544659
57,2021-06-15,601577.SH,长沙银行,金融,369.98294536799995,0.057,剔除,-4.958677685950419,-3.4994697773064742
58,2021-06-15,603156.SH,养元饮品,日常消费,347.12489448,0.0767,剔除,-5.020775623268692,0.17373175816537412
59,2021-06-15,601117.SH,中国化学,材料,344.3234,0.0763,剔除,7.855335357443871,16.045845272206293
60,2021-06-15,600177.SH,雅戈尔,可选消费,336.99141643440004,0.1026,剔除,-2.8037383177570208,-3.5647504351814185
61,2021-06-15,600027.SH,华电国际,公用事业,331.39601554079997,0.0553,剔除,-1.17647058823529,-0.2941176470588225
62,2021-06-15,600369.SH,西南证券,金融,325.61034707600004,0.0797,剔除,-2.5844930417495027,-5.283757338551864
63,2021-06-15,600068.SH,葛洲坝(退市),工业,317.2691636868,0.0965,剔除,-1.289398280802312,1.0189228529839944
64,2021-06-15,000723.SZ,美锦能源,能源,309.88080848,0.0763,剔除,-2.9451137884872858,-8.299319727891152
65,2021-06-15,600998.SH,九州通,日常消费,306.55644156799997,0.0638,剔除,-3.7080635668039874,-4.632856729723544
66,2021-06-15,601198.SH,东兴证券,金融,294.27440210189997,0.077,剔除,-4.817127564674406,-0.6433823529411686
67,2021-06-15,600066.SH,宇通客车,可选消费,287.1659721987,0.0869,剔除,-4.514672686230248,-2.9748283752860205
68,2021-06-15,600637.SH,东方明珠,可选消费,286.1351168438,0.0906,剔除,-4.8808172531214495,-0.4761904761904856
69,2021-06-15,002422.SZ,科伦药业,医疗保健,280.808303814,0.1113,剔除,-7.294117647058817,-1.8334985133795723
70,2021-06-15,600390.SH,五矿资本,金融,273.9321864531,0.0699,剔除,-1.7741935483871152,-2.424932924532508
71,2021-06-15,600004.SH,白云机场,工业,272.88261802989996,0.0688,剔除,0.08680555555555802,-4.619332763045325
72,2021-06-15,600487.SH,亨通光电,信息技术,269.289521148,0.0843,剔除,-5.707196029776673,-0.694444444444442
73,2021-06-15,600208.SH,新湖中宝,房地产,263.1399122016,0.0677,剔除,-2.547770700636942,-4.731861198738163
74,2021-06-15,002146.SZ,荣盛发展,房地产,257.4112999792,0.0542,剔除,-1.9867549668874163,-5.775577557755773
75,2021-06-15,600271.SH,航天信息,信息技术,241.24109643059998,0.0716,剔除,-0.4587155963302725,-1.0948905109488982
76,2021-06-15,002958.SZ,青农商行,金融,238.889656845,0.0614,剔除,-2.4943310657596474,-2.0454545454545503
77,2021-06-15,000961.SZ,中南建设,房地产,232.2036860407,0.0643,剔除,-8.03030303030302,-4.800000000000004
78,2021-06-15,600297.SH,广汇汽车,可选消费,222.2246195824,0.058,剔除,-2.491103202846978,-4.642857142857137
79,2021-06-15,000671.SZ,阳光城,房地产,211.98760704,0.0452,剔除,-4.1198501872659055,-3.6328871892925663
80,2021-06-15,600498.SH,烽火通信,信息技术,204.58298289759998,0.0631,剔除,-3.2119914346895206,0.6993006993007089
81,2021-06-15,000627.SZ,天茂集团,金融,180.827027439,0.0387,剔除,-5.181347150259052,-3.7234042553191404
82,2021-06-15,601995.SH,中金公司,金融,2936.4203528044,0.076,纳入,0.3795379537953725,1.7704918032786843
83,2021-06-15,688111.SH,金山办公,信息技术,1926.058,0.34,纳入,8.519480519480528,-5.226133041804304
84,2021-06-15,300274.SZ,阳光电源,工业,1429.25750235,0.549,纳入,18.4496498430331,5.037294370082757
85,2021-06-15,688363.SH,华熙生物,医疗保健,1131.36,0.094,纳入,1.9684187756867866,7.390654826126664
86,2021-06-15,688396.SH,华润微,信息技术,1001.9497224990001,0.112,纳入,16.589861751152068,18.625800496307
87,2021-06-15,688169.SH,石头科技,可选消费,960.6800048033999,0.157,纳入,20.688442211055282,4.645475054290893
88,2021-06-15,300450.SZ,先导智能,工业,922.5655389714998,0.264,纳入,7.803223070398624,-3.8146279949558437
89,2021-06-15,300595.SZ,欧普康视,医疗保健,884.8690123196,0.247,纳入,1.5324548560273321,-3.5069671747872344
90,2021-06-15,603806.SH,福斯特,信息技术,864.3612238559999,0.182,纳入,29.460580912863055,7.834896001724312
91,2021-06-15,600132.SH,重庆啤酒,日常消费,830.2525901690001,0.224,纳入,-3.6235955056179714,6.262720241902664
92,2021-06-15,603659.SH,璞泰来,材料,816.66109896,0.133,纳入,7.603623387318126,7.330105192853575
93,2021-06-15,600426.SH,华鲁恒升,材料,703.75807424,0.214,纳入,0.48309178743961567,-6.335367625690214
94,2021-06-15,688126.SH,沪硅产业-U,信息技术,668.678096,0.068,纳入,-4.5663716814159265,7.214285714285706
95,2021-06-15,603882.SH,金域医学,医疗保健,662.921957075,0.207,纳入,-1.1163456501294688,-1.8271671382433907
96,2021-06-15,601799.SH,星宇股份,可选消费,587.530285115,0.146,纳入,2.7380722426115334,11.200540579101581
