date,bond20_03,index300
1/4/2012,99.7952,2298.753
1/5/2012,99.8045,2276.385
1/6/2012,99.8138,2290.601
1/9/2012,99.7818,2368.57
1/10/2012,99.8211,2447.349
1/11/2012,99.4004,2435.608
1/12/2012,99.5397,2435.219
1/13/2012,99.549,2394.334
1/16/2012,99.577,2345.649
1/17/2012,99.5163,2460.601
1/18/2012,99.5856,2422.189
1/19/2012,99.6049,2468.35
1/20/2012,99.6242,2504.086
1/30/2012,99.5374,2460.72
1/31/2012,99.6467,2464.26
2/1/2012,99.606,2428.994
2/2/2012,99.5653,2486.238
2/3/2012,99.4847,2506.09
2/6/2012,99.3026,2504.322
2/7/2012,99.4419,2457.954
2/8/2012,99.2312,2528.236
2/9/2012,99.0505,2529.231
2/10/2012,99.0899,2533.624
2/13/2012,99.2978,2531.981
2/14/2012,99.2671,2522.107
2/15/2012,99.1564,2549.607
2/16/2012,99.2458,2536.074
2/17/2012,99.1951,2537.086
2/20/2012,99.243,2540.706
2/21/2012,99.0923,2562.453
2/22/2012,98.8316,2597.476
2/23/2012,99.111,2606.256
2/24/2012,99.0203,2648.017
2/27/2012,98.9482,2656.573
2/28/2012,98.9475,2662.463
2/29/2012,98.9575,2634.143
3/1/2012,99.1168,2633.345
3/2/2012,99.1862,2679.934
3/5/2012,99.5041,2662.698
3/6/2012,99.8034,2621.052
3/7/2012,99.6127,2603.005
3/8/2012,99.6221,2635.791
3/9/2012,99.7414,2664.302
3/12/2012,99.8893,2654.402
3/13/2012,99.8586,2681.073
3/14/2012,99.7879,2605.106
3/15/2012,99.6273,2585.546
3/16/2012,99.5866,2623.52
3/19/2012,99.6645,2630.013
3/20/2012,99.5938,2584.445
3/21/2012,99.5532,2587.793
3/22/2012,99.4625,2583.747
3/23/2012,99.6118,2552.94
3/26/2012,99.7697,2555.442
3/27/2012,99.789,2547.143
3/28/2012,99.8684,2474.9
3/29/2012,99.9677,2443.122
3/30/2012,100.287,2454.899
4/5/2012,100.2429,2512.832
4/6/2012,100.2422,2519.83
4/9/2012,100.0101,2495.146
4/10/2012,99.8895,2519.788
4/11/2012,99.9788,2520.036
4/12/2012,99.9181,2570.436
4/13/2012,99.9174,2580.454
4/16/2012,99.9953,2574.044
4/17/2012,98.3293,2541.883
4/18/2012,98.4986,2599.908
4/19/2012,98.4779,2596.056
4/20/2012,98.5273,2626.839
4/23/2012,98.6452,2606.038
4/24/2012,98.6245,2604.866
4/25/2012,98.6038,2625.99
4/26/2012,98.5832,2631.487
4/27/2012,98.6025,2626.157
5/2/2012,98.349,2683.487
5/3/2012,98.2784,2691.518
5/4/2012,98.3177,2715.879
5/7/2012,98.3456,2717.778
5/8/2012,98.3149,2709.116
5/9/2012,98.7942,2657.514
5/10/2012,98.7336,2657.214
5/11/2012,98.8829,2636.917
5/14/2012,99.2208,2615.534
5/15/2012,99.6701,2617.374
5/16/2012,99.7795,2574.647
5/17/2012,99.7388,2613.942
5/18/2012,99.7981,2573.976
5/21/2012,99.476,2587.231
5/22/2012,99.4153,2627.525
5/23/2012,99.5947,2616.869
5/24/2012,99.634,2595.26
5/25/2012,99.9133,2573.103
5/28/2012,99.9012,2614.689
5/29/2012,99.5605,2650.854
5/30/2012,99.5999,2642.258
5/31/2012,99.6792,2632.042
6/1/2012,99.5685,2632.998
6/4/2012,99.6464,2559.026
6/5/2012,99.6958,2558.842
6/6/2012,99.7351,2557.401
6/7/2012,99.7644,2542.184
6/8/2012,100.1937,2524.329
6/11/2012,99.9716,2558.265
6/12/2012,99.931,2540.178
6/13/2012,99.7203,2580.636
6/14/2012,99.7496,2560.421
6/15/2012,99.8989,2568.054
6/18/2012,99.7468,2581.212
6/19/2012,99.7462,2558.621
6/20/2012,99.7455,2552.611
6/21/2012,99.7548,2512.185
6/25/2012,99.7521,2456.518
6/26/2012,99.8214,2454.915
6/27/2012,99.8107,2447.195
6/28/2012,99.88,2425.729
6/29/2012,99.9093,2461.612
7/2/2012,99.9773,2465.238
7/3/2012,100.0666,2468.721
7/4/2012,100.1859,2464.919
7/5/2012,100.5652,2430.37
7/6/2012,100.6845,2472.614
7/9/2012,100.7025,2416.036
7/10/2012,100.7918,2406.706
7/11/2012,100.7411,2425.572
7/12/2012,101.0104,2449.181
7/13/2012,101.0497,2450.633
7/16/2012,100.9777,2399.731
7/17/2012,100.847,2414.201
7/18/2012,100.8663,2414.335
7/19/2012,100.8256,2424.322
7/20/2012,100.8849,2398.455
7/23/2012,100.9129,2365.431
7/24/2012,100.8922,2375.992
7/25/2012,101.0315,2360.083
7/26/2012,100.9408,2347.488
7/27/2012,100.9501,2349.108
7/30/2012,101.1581,2335.793
7/31/2012,101.0874,2332.922
8/1/2012,100.9967,2358.651
8/2/2012,101.166,2334.882
8/3/2012,101.0353,2353.737
8/6/2012,100.8533,2385.611
8/7/2012,100.6826,2388.873
8/8/2012,100.7119,2389.795
8/9/2012,100.7012,2411.7
8/10/2012,100.9705,2399.751
8/13/2012,100.9985,2351.931
8/14/2012,100.8178,2357.016
8/15/2012,100.7071,2331.615
8/16/2012,100.7764,2319.67
8/17/2012,100.8458,2313.476
8/20/2012,100.8237,2301.788
8/21/2012,100.743,2313.703
8/22/2012,100.7223,2295.586
8/23/2012,100.6616,2302.199
8/24/2012,100.811,2275.677
8/27/2012,100.9789,2228.204
8/28/2012,100.6782,2238.411
8/29/2012,100.6675,2214.814
8/30/2012,100.6168,2211.37
8/31/2012,100.6762,2204.868
9/3/2012,100.6941,2228.369
9/4/2012,100.8234,2204.407
9/5/2012,100.8427,2199.875
9/6/2012,100.8321,2217.823
9/7/2012,100.8314,2317.179
9/10/2012,100.7693,2326.666
9/11/2012,100.7186,2311.89
9/12/2012,100.6779,2320.071
9/13/2012,100.6873,2298.461
9/14/2012,100.1366,2315.542
9/17/2012,99.7345,2258.705
9/18/2012,100.0038,2235.239
9/19/2012,100.0532,2246.236
9/20/2012,100.1825,2195.951
9/21/2012,100.1918,2199.063
9/24/2012,99.9297,2215.516
9/25/2012,100.259,2210.154
9/26/2012,100.4684,2184.891
9/27/2012,100.3677,2251.717
9/28/2012,100.647,2293.106
10/8/2012,100.4801,2270.054
10/9/2012,100.5895,2320.157
10/10/2012,100.5188,2324.117
10/11/2012,100.4581,2302.533
10/12/2012,100.5374,2304.531
10/15/2012,100.5353,2294.857
10/16/2012,100.5147,2298.162
10/17/2012,98.6593,2300.803
10/18/2012,98.3986,2336.077
10/19/2012,98.2479,2332.47
10/22/2012,98.4559,2341.592
10/23/2012,98.5252,2312.077
10/24/2012,98.4245,2307.779
10/25/2012,98.3938,2291.239
10/26/2012,98.3632,2247.907
10/29/2012,98.3611,2235.854
10/30/2012,98.5204,2239.882
10/31/2012,98.4297,2254.82
11/1/2012,98.449,2297.884
11/2/2012,98.4984,2306.774
11/5/2012,98.4963,2301.88
11/6/2012,98.4956,2292.206
11/7/2012,98.4749,2287.505
11/8/2012,98.5042,2245.405
11/9/2012,98.5336,2240.924
11/12/2012,98.4515,2251.848
11/13/2012,98.5508,2212.44
11/14/2012,98.6201,2223.11
11/15/2012,98.5995,2193.623
11/16/2012,98.6988,2177.24
11/19/2012,98.6767,2174.985
11/20/2012,98.716,2164.881
11/21/2012,98.6853,2194.896
11/22/2012,98.6047,2177.546
11/23/2012,98.554,2192.676
11/26/2012,98.5719,2175.599
11/27/2012,98.4112,2150.638
11/28/2012,98.3005,2129.161
11/29/2012,98.3299,2115.676
11/30/2012,98.5092,2139.661
12/3/2012,98.4371,2108.85
12/4/2012,98.4064,2131.473
12/5/2012,98.2858,2207.878
12/6/2012,98.3651,2203.602
12/7/2012,98.3044,2246.757
12/10/2012,98.3023,2271.046
12/11/2012,98.1416,2258.5
12/12/2012,98.231,2267.767
12/13/2012,98.2403,2242.635
12/14/2012,98.2496,2355.865
12/17/2012,98.2575,2366.7
12/18/2012,98.1868,2368.12
12/19/2012,97.9562,2371.109
12/20/2012,97.8555,2384.816
12/21/2012,97.9848,2372.002
12/24/2012,98.0227,2381.217
12/25/2012,97.9821,2448.395
12/26/2012,98.0714,2457.619
12/27/2012,98.1107,2444.594
12/28/2012,98.15,2480.049
12/31/2012,98.2079,2522.952
1/4/2013,98.1852,2524.409
1/7/2013,98.2732,2535.985
1/8/2013,98.3225,2525.33
1/9/2013,98.3418,2526.126
1/10/2013,98.2511,2530.569
1/11/2013,98.2104,2483.23
1/14/2013,98.1684,2577.725
1/15/2013,98.0477,2595.856
1/16/2013,97.987,2577.092
1/17/2013,97.9963,2552.758
1/18/2013,98.1156,2595.439
1/21/2013,98.1336,2610.898
1/22/2013,98.1329,2596.898
1/23/2013,98.2422,2607.456
1/24/2013,98.3815,2582.755
1/25/2013,98.4808,2571.674
1/28/2013,98.3488,2651.863
1/29/2013,98.3181,2675.866
1/30/2013,98.3074,2688.711
1/31/2013,98.3167,2686.882
2/1/2013,98.276,2743.324
2/4/2013,98.294,2748.028
2/5/2013,98.3433,2771.675
2/6/2013,98.4226,2775.844
