,close
2022-01-13 09:30:00,15.37
2022-01-13 09:31:00,15.33
2022-01-13 09:32:00,15.33
2022-01-13 09:33:00,15.4
2022-01-13 09:34:00,15.34
2022-01-13 09:35:00,15.32
2022-01-13 09:36:00,15.37
2022-01-13 09:37:00,15.36
2022-01-13 09:38:00,15.3
2022-01-13 09:39:00,15.33
2022-01-13 09:40:00,15.41
2022-01-13 09:41:00,15.38
2022-01-13 09:42:00,15.45
2022-01-13 09:43:00,15.42
2022-01-13 09:44:00,15.43
2022-01-13 09:45:00,15.47
2022-01-13 09:46:00,15.55
2022-01-13 09:47:00,15.5
2022-01-13 09:48:00,15.52
2022-01-13 09:49:00,15.46
2022-01-13 09:50:00,15.46
2022-01-13 09:51:00,15.53
2022-01-13 09:52:00,15.5
2022-01-13 09:53:00,15.56
2022-01-13 09:54:00,15.57
2022-01-13 09:55:00,15.5
2022-01-13 09:56:00,15.5
2022-01-13 09:57:00,15.43
