Symbol,Short Name,"Close (D)
[Trade Date] 2022-02-09
[Price Type] Yield",FULL,"Closing Price (Net)
[Trade Date] 2022-02-09","Estimated Clean Price (SHCH)
[Date] 2022-02-09","Estimated Yield (SHCH)
[Date] 2022-02-09","Estimated Dirty Price (SHCH)
[Date] 2022-02-09","Estimated Yield (CSI)
[Date] 2022-02-09
[Credibility] Recommended","Estimated Clean Price (CSI)
[Date] 2022-02-09
[Credibility] Recommended","Estimated Dirty Price (CSI)
[Date] 2022-02-09
[Credibility] Recommended",Dated Date,"Remaining Maturity (Year)
[Date] Most Recent
[Unit] Yearly",Initial Face Value,"Bond Latest Face Value
[Trade Date] Last Closing Day",Latest Bond Rating,Maturity Date,Coupon Type,Interest Accrual Method,Coupon Description,Coupon Frequency,COUPON_DATE,"Bond Term (Year)
[Unit] Yearly",Maturities (Text),Interest Reference,Coupon Date Description,"Bond Term (Year)
[Unit] Yearly","Issue Amount
[Unit] (100M)"
139428.SH,19 Huining 01,8.4609,102.2589,100,101.618,7.7766,103.8769,,,,11/5/2019,4.737,100,100,AAA,11/5/2026,Fixed Interest Rate,Simple interest,8.50%,1,11月5日,7,5.0044,A/365,"Pay interest on November 5 every year, and postpone holidays",7,5.7
152292.SH,19 Taoyuan 02,7.9614,102.5425,100,101.7411,7.2189,104.2836,,,,10/17/2019,4.6849,100,100,AAA,10/17/2026,Fixed Interest Rate,Simple interest,8.00%,1,10月17日,7,5.0044,A/365,"Pay interest on October 17 each year, and holidays are postponed",7,4
152276.SH,19 Ruili debt,11.3046,96.1342,93,101.1842,7.4401,104.3184,,,,9/20/2019,4.611,100,100,AA+,9/20/2026,Fixed Interest Rate,Simple interest,8.00%,1,9月20日,7,5.0044,A/365,"Pay interest on September 20 each year, and postpone holidays",7,10
152501.SH,QIANXI PREFECTURE XINGAN DEVELOPMENT INVESTMENT 8.0000% B270622,8.0023,105.0068,99.9,101.4107,7.4768,106.5175,,,,6/22/2020,5.3644,100,100,AA+,6/22/2027,Fixed Interest Rate,Simple interest,8.00%,1,6月22日,7,5.0022,A/365,The interest payment holiday is extended on June 22 every year,7,9
151629.SH,TIANYU ECOLOGY 8% B220612,7.5338,105.326,100,100.2442,6.8859,105.5702,,,,6/12/2019,0.337,100,100,AAA,6/12/2022,Fixed Interest Rate,Simple interest,8%,1,6月12日,3,2+1,A/365F,The interest payment holiday will be postponed on June 12 every year,3,2.5
152138.SH,MEISHAN HUNAN RESOURCES DEVELOPMENT 8.00% B260321,7.9712,107.1452,100,102.595,6.5879,109.7403,,,,3/21/2019,4.1096,100,100,AAA,3/21/2026,Fixed Interest Rate,Simple interest,8.00%,1,3月21日,7,5.0044,A/365,"Pay interest on March 21 every year, and holidays are postponed",7,7
152115.SH,XIFENG COUNTY CITY CONSTRUCTION INVESTMENT 8.0000% B260314,19.4044,90.2986,83,101.187,7.333,108.4856,,,,3/14/2019,4.0904,100,100,AA+,3/14/2026,Fixed Interest Rate,Simple interest,8.00%,1,3月14日,7,5.0044,A/365,"Pay interest on March 14 every year, and holidays are postponed",7,8
152186.SH,XUZHOU JIAWANG URBAN TOURISM INVESTMENT AND DEVELOPMENT 7.98% B260506,7.681,106.6216,100.5,102.7014,6.5799,108.823,,,,5/6/2019,4.2356,100,100,AAA,5/6/2026,Fixed Interest Rate,Simple interest,7.98%,1,5月6日,7,5.0044,A/365,The interest payment holiday is postponed on May 6 every year,7,7
151281.SH,TANDE 7.98% B220322,7.2687,107.1055,100,100.0985,6.6051,107.204,,,,3/22/2019,0.1123,100,100,AA+,3/22/2022,Fixed Interest Rate,Simple interest,7.98%,1,3月22日,3,3,A/365F,"Interest is paid on March 22 every year, holidays are postponed",3,20
152325.SH,19Mianan  01,7.8701,101.6666,100,101.5958,7.2139,103.2624,,,,11/25/2019,4.7918,100,100,AAA,11/25/2026,Fixed Interest Rate,Simple interest,7.90%,1,11月25日,7,5.0044,A/365,"Interest is paid on November 25 every year, holidays are postponed",7,2
