,Symbol,Latest Bond Rating,Coupon Description,calculated_dirty_price,FULL,fv_bond
0,139428.SH,AAA,8.50%,126.12037546480013,102.2589,129.2410056706093
1,152292.SH,AAA,8.00%,124.04618258777244,102.5425,127.11549048407475
2,152276.SH,AA+,8.00%,124.36791637436201,96.1342,127.44518501585685
3,152501.SH,AA+,8.00%,128.76281170162312,105.0068,131.94882441447896
4,151629.SH,AAA,8%,107.0982581478738,105.326,109.74821901370618
5,152138.SH,AAA,8.00%,126.70154876051576,107.1452,129.83655909272986
6,152115.SH,AA+,8.00%,126.78585630209115,90.2986,129.92295267837108
7,152186.SH,AAA,7.98%,126.04841159111885,106.6216,129.16726117554066
8,151281.SH,AA+,7.98%,107.70316882511129,107.1055,110.36809715773279
9,152325.SH,AAA,7.90%,123.07859368842881,101.6666,126.12396027362283
10,152136.SH,AAA,7.90%,135.46152200286113,107.7477,138.8132826975872
11,166022.SH,AAA,7.90%,122.34880843383964,100.4545,125.37611774715485
12,152336.SH,AAA,7.80%,122.57163216034796,101.5814,125.60445486076617
13,152162.SH,AAA,7.80%,125.4455524645563,106.411,128.5494853442564
14,152155.SH,AAA,7.80%,125.54255787032719,106.5819,128.64889098074545
15,152117.SH,AA+,7.80%,125.949997480894,107.3085,129.0664119786463
16,152116.SH,AA+,7.80%,126.00677234035406,107.394,129.12459163364957
17,152892.SH,AA+,7.70%,130.38019642501413,105.4849,133.60622852096827
18,152172.SH,AAA,7.69%,124.85422942196848,106.1941,127.94353103736026
19,152251.SH,AAA,7.60%,122.94999903999765,97.7138,125.99218377338764
20,196896.SH,AA+,7.60%,111.04038279131986,103.6438,113.78788470230108
21,152217.SH,AA+,7.60%,126.61510953822147,104.9556,129.74798108162318
22,152182.SH,AA+,7.60%,124.36445414992698,106.08,127.44163712467598
23,152160.SH,AA+,7.60%,124.62297774689986,106.4964,127.7065574402017
24,152111.SH,AAA,7.60%,125.03292355066581,107.246,128.12664664271082
25,185167.SH,AA+,7.50%,113.86427692589922,100.863,116.68165120525786
26,177481.SH,AA+,7.50%,117.78905483858438,100.9041,120.70354094828986
27,152367.SH,AAA,7.50%,120.82296326412524,100.9247,123.81251818201899
28,162594.SH,AA+,7.50%,105.26681658764787,100.9863,107.87146160477654
29,152374.SH,AAA,7.50%,120.8671692759208,101.0068,123.85781799499603
30,177398.SH,AA+,7.50%,109.7393309380073,101.0479,112.45464057475995
31,152346.SH,AA+,7.50%,121.09342492153718,101.3562,124.08967194460841
32,152660.SH,AA+,7.50%,123.98434176810692,101.6027,127.05211952045677
33,167784.SH,AA+,7.50%,118.29031790820372,101.9726,121.21720690420211
34,152316.SH,AAA,7.50%,121.54416871496088,96.3753,124.55156861235281
35,184093.SH,AAA,7.50%,127.08654119229934,102.1575,130.23107749529495
36,152296.SH,AAA,7.50%,121.72421580795964,102.363,124.73607065876266
37,167787.SH,AA+,7.50%,110.46088096084897,102.8356,113.19404410293718
38,152556.SH,AA+,7.50%,124.79790773631161,102.8973,127.88581576916086
39,167728.SH,AA+,7.50%,110.51589317076622,102.9178,113.25041749468822
40,152284.SH,AAA,7.50%,122.04280255724444,102.9384,125.06254028525363
41,152282.SH,AAA,7.50%,122.02037367954252,102.9795,125.03955644382772
42,152279.SH,AAA,7.50%,122.15028013371276,103.1233,125.17267720816253
43,167215.SH,AA+,7.50%,111.12389593695116,104.2945,113.87346423604673
44,167219.SH,AA+,7.50%,111.12896346734277,104.3356,113.87865715369914
45,151829.SH,AA+,7.50%,106.44463394595591,104.3767,109.07842201321996
46,152232.SH,AA+,7.50%,123.05758256009675,104.5205,126.10242926131889
47,152493.SH,AAA,7.50%,126.23191662389735,105.1575,129.35530672245966
48,152206.SH,AA+,7.50%,123.44664750555988,105.1781,126.50112094485951
49,152194.SH,AA+,7.50%,123.78933512684084,94.8534,126.85228777767298
50,152198.SH,AAA,7.50%,123.78933512684084,95.7534,126.85228777767298
51,166718.SH,AA+,7.50%,111.77072539989211,105.9178,114.5362983735109
52,152183.SH,AA+,7.50%,123.91895145949312,105.9589,126.98511124193543
53,152187.SH,AAA,7.50%,124.08785086010134,106.2466,127.15818976561823
54,152168.SH,AAA,7.50%,124.08765571405073,107.3171,127.15798979101667
55,152175.SH,AAA,7.50%,124.06248080801458,97.2577,127.1321919755425
56,152159.SH,AAA,7.50%,124.11546178791262,106.3082,127.18648387800634
57,152148.SH,AAA,7.50%,124.22980528908161,106.5753,127.3036566110284
58,152128.SH,AA+,7.50%,124.31297079921416,106.7192,127.38887990763712
59,139417.SH,AA+,7.50%,124.37772199440138,106.7603,127.45523325897729
60,152750.SH,AA+,7.50%,130.14910023107683,106.9658,133.3694142520523
61,152394.SH,AAA,7.50%,120.49425994084073,98.411,123.47568166443017
62,196115.SH,AA+,7.50%,113.82136717009057,100.7397,116.63767972187658
63,152235.SH,AA+,7.47%,122.69655012601797,104.1545,125.73246370509463
64,177878.SH,AA+,7.47%,104.83203697835319,100.1433,107.42592412724181
65,197817.SH,AA+,7.40%,109.59875432535415,101.1556,112.31058563735509
66,152223.SH,AA+,7.40%,122.41402278663013,104.1967,125.44294571613084
67,196347.SH,AA+,7.40%,113.3812787520436,100.4055,116.18670207831374
68,152361.SH,AA+,7.30%,119.98924111041026,101.04,122.9581670179118
69,197567.SH,AA+,7.30%,113.68999306587234,101.7,116.50305499303587
70,152245.SH,AAA,7.30%,121.68303070628731,103.72,124.6938665030966
71,152188.SH,AA+,7.30%,122.84805326672499,105.6,125.88771552856143
72,152677.SH,AAA,7.25%,122.44175188486506,101.2712,125.47136092286499
73,152352.SH,AA+,7.20%,119.52705765933005,101.0455,122.48454763799971
74,162647.SH,AAA,7.20%,105.07838058444007,101.3019,107.67836307910713
75,152312.SH,AAA,7.20%,120.15224701514013,102.0121,123.12520622137038
76,152581.SH,AAA,7.20%,123.06156005802436,102.6433,126.1065051755423
77,152211.SH,AA+,7.20%,122.0379259193624,103.961,125.05754298341526
78,178531.SH,AA+,7.20%,115.07550641855971,105.3655,117.92285047343665
79,139421.SH,AAA,7.20%,122.50518661094347,105.7205,125.53636523134884
80,152124.SH,AAA,7.20%,123.08514065200183,106.6871,126.1306692304678
81,197813.SH,AA+,7.10%,109.01898186730651,101.1088,111.71646771420387
82,152158.SH,AA+,7.06%,122.0118105146161,105.8995,125.03078139821963
83,152113.SH,AA+,7.03%,122.31959710220863,106.6063,125.34618363172699
84,196006.SH,AA+,7%,108.70383019956039,100.8247,111.39351816439344
85,152716.SH,AAA,7.00%,120.82767851797776,100.8438,123.81735010665965
86,197994.SH,AA+,7%,108.76477072368262,100.9589,111.45596655621456
87,197995.SH,AA+,7%,108.76477072368262,100.9589,111.45596655621456
88,177150.SH,AA+,7%,105.02811156520146,101.6493,107.62685024007115
89,184110.SH,AAA,7%,123.74982423564944,101.726,126.8117992579259
90,175303.SH,AA+,7.00%,109.1883335302714,101.9753,111.8900096906919
91,197261.SH,AAA,7%,113.12310538701638,102.2822,115.92214066061644
92,152293.SH,AA+,7.00%,119.6670303994926,102.6274,122.62798376113531
93,167749.SH,AA+,7%,105.4418393086306,102.6658,108.05081495978878
94,152988.SH,AAA,7%,124.46945920566725,102.8,127.54924034861466
95,175022.SH,AA+,7.00%,109.86751049885747,103.3962,112.58599171679107
96,151777.SH,AAA,7.00%,105.70296229555251,103.4137,108.31839898266476
97,152201.SH,AA+,7.00%,121.56267671191034,105.5616,124.57053455762441
98,155382.SH,AAA,7.00%,106.46949277426128,105.5808,109.10389593016747
99,152149.SH,AAA,7.00%,121.85137172266904,106.0411,124.86637282630254
100,178801.SH,AA+,7.00%,114.08917303233532,100.8438,116.91211197624818
101,177869.SH,AAA,7.00%,115.03826146017454,106.3671,117.88468395307767
102,175798.SH,AA+,7.00%,111.19727020133305,106.5014,113.94865401949059
103,177965.SH,AA+,7.00%,115.2213163682282,106.7315,118.07226823771532
104,152105.SH,AAA,7.00%,122.32268341029945,107.9433,125.34934630516493
105,177949.SH,AA+,7.00%,104.40903736193552,100.0192,114.16566099162662
106,152754.SH,AAA,7.00%,120.3133254077201,100.0959,123.29027021973003
107,177868.SH,AA+,7.00%,104.3782522126035,100.1342,106.96091124357926
108,196048.SH,AA+,7.00%,108.65153028231035,100.7096,111.339924176293
109,184046.SH,AAA,6.99%,124.40647958671629,102.796,127.48470240809571
110,178501.SH,AA+,6.99%,110.76840551554524,105.5154,113.50917781999819
111,152373.SH,AAA,6.97%,118.31960952131149,101.6529,121.2472232875328
112,152210.SH,AA+,6.97%,120.87288101897046,106.8785,123.86367106523268
113,152513.SH,AAA,6.95%,122.77341892653814,104.17,125.81123449091972
114,152637.SH,AAA,6.90%,120.91066908107855,101.8148,123.90239412747535
115,162124.SH,AAA,6.90%,113.00265140076466,102.7222,115.7987062491438
116,155912.SH,AAA,6.90%,105.88711156003555,104.1967,108.50710470168583
117,152423.SH,AA+,6.90%,123.84773605513986,106.1249,126.91213373577172
118,177928.SH,AA+,6.90%,108.15413081058843,100.0378,117.90134621879886
119,152952.SH,AAA,6.89%,124.58151312259244,103.9452,127.66406684559718
120,152570.SH,AAA,6.88%,121.55954303813046,102.9028,124.56732334651547
121,152150.SH,AAA,6.85%,121.18529500975687,105.9867,124.18381519900964
122,197935.SH,AA+,6.80%,111.85705262146212,100.7638,114.62476161262941
123,197941.SH,AA+,6.80%,108.37069731477798,100.8942,111.052142483481
124,197403.SH,AAA,6.80%,117.64877756583466,100.9315,120.55979275743577
125,197437.SH,AA+,6.80%,112.32684353677024,101.7512,115.10617669029293
126,152632.SH,AAA,6.80%,120.42698640603517,101.8444,123.40674356254738
127,184103.SH,AA+,6.80%,122.6186960422539,101.863,125.65268325689858
128,197093.SH,AA+,6.80%,112.3988954202103,101.863,115.18001137276939
129,197469.SH,AAA,6.80%,112.41556711777521,101.9375,115.19709558260925
130,196977.SH,AA+,6.80%,112.42438744342395,101.9562,115.20613415193625
131,197373.SH,AA+,6.80%,108.92467623774891,102.1052,111.61982865521357
132,197189.SH,AA+,6.80%,109.03804030832224,102.3288,111.73599772332659
133,152918.SH,AAA,6.80%,123.13901254047614,102.6082,126.18587408549728
134,152286.SH,AAA,6.80%,118.78091557727248,103.3082,121.71994356270343
135,152242.SH,AAA,6.80%,119.37825779555857,103.5025,122.33206597937316
136,152238.SH,AAA,6.80%,119.50161883242464,103.7447,122.45847937139156
137,152966.SH,AA+,6.80%,123.94212028569206,103.8005,127.00885334060207
138,139422.SH,AAA,6.80%,119.69168930549567,103.9868,122.6532528090495
139,178373.SH,AAA,6.80%,113.51993209613416,104.2104,116.32878615920721
140,152915.SH,AAA,6.80%,124.23476920160668,104.229,127.30874334696965
141,155454.SH,AAA,6.80%,113.67084325217738,104.5644,116.48343135037526
142,152894.SH,AA+,6.80%,124.54584452788794,104.6762,127.62751569330732
143,178558.SH,AA+,6.80%,110.33238805643246,105.1978,113.06237186419601
144,152178.SH,AAA,6.80%,120.62016681287723,105.4027,123.6047038839
145,178261.SH,AA+,6.80%,114.21103400277202,105.6449,117.03698818529207
146,155294.SH,AA+,6.80%,106.42150874368652,104.8312,109.05472461788142
147,124617.SH,AAA,6.80%,114.30857048346157,120.4616,117.1369380372286
148,152780.SH,AAA,6.80%,125.54761950359199,106.1293,128.65407785535686
149,152415.SH,AAA,6.80%,123.43218297138961,106.2411,126.48629851084887
150,152720.SH,AA+,6.80%,119.22918879683101,100.0932,122.17930852651227
151,196233.SH,AA+,6.80%,108.07442374297996,100.2795,110.74853813539939
152,152771.SH,AAA,6.75%,125.31839047763974,106.2322,128.41917695426307
153,196078.SH,AA+,6.70%,108.13332689112556,100.8077,110.80889873990478
154,197902.SH,AA+,6.70%,108.25584446726893,101.0279,110.93444780122607
155,197673.SH,AA+,6.70%,108.36725626365457,101.3033,111.04861628950866
156,152289.SH,AA+,6.70%,118.27118596801202,102.5148,121.19760157729367
157,184058.SH,AAA,6.70%,122.49136575288192,102.5515,125.52220240009717
158,175877.SH,AA+,6.70%,112.4655706717672,102.5882,115.24833638792094
159,196809.SH,AA+,6.70%,109.1512565074232,102.9737,111.85201526114382
160,150565.SH,AA+,6.70%,109.44507596726106,103.6896,112.15310477451622
161,152964.SH,AA+,6.70%,123.30917339774443,103.7447,126.36024527839992
162,152931.SH,AA+,6.70%,123.57503783127942,104.1301,126.63268806677155
163,178161.SH,AA+,6.70%,120.58621423585046,106.0208,123.56991120917255
164,184150.SH,AAA,6.60%,120.84742807470738,101.0668,123.8375883319573
165,184118.SH,AAA,6.60%,121.18824956251339,101.5551,124.1868428570558
166,152591.SH,AAA,6.60%,119.7703118930592,102.423,122.73382077634017
167,150687.SH,AA+,6.60%,108.75863450622236,102.5858,111.44967850868335
168,152519.SH,AAA,6.60%,120.71286749379723,103.7792,123.69969828257902
169,143625.SH,AAA,6.60%,109.90761885250907,114.9173,112.62709248217193
170,152142.SH,AA+,6.58%,119.9100517223094,105.5507,122.8770182255864
171,143951.SH,AAA,6.55%,103.98458776304571,107.9938,106.55750624918312
172,197869.SH,AAA,6.50%,111.00934464509399,100.7479,113.75607857091589
173,196088.SH,AA+,6.50%,107.75616833406575,100.7479,110.42240804772246
174,177421.SH,AA+,6.50%,107.73825816855361,100.837,110.40405472619145
175,184186.SH,AAA,6.50%,120.08937307242203,100.8548,123.06077657185963
176,197815.SH,AA+,6.50%,107.79055300132754,100.8548,110.45764350400924
177,167761.SH,AA+,6.50%,107.79898993832978,100.8904,110.46628919840185
178,184160.SH,AAA,6.50%,120.12236194603405,100.9082,123.09458169800077
179,177428.SH,AA+,6.50%,118.205358942082,100.9616,121.13014577564269
180,184126.SH,AA+,6.50%,120.21036473535,101.0329,123.1847619638864
181,197843.SH,AAA,6.50%,107.86807279891381,101.0329,110.5370813946951
182,152684.SH,AAA,6.50%,118.34109599333136,99.0019,121.26924140508066
183,177198.SH,AAA,6.50%,107.91988838018874,101.1397,110.59017906276577
184,152676.SH,AA+,6.50%,118.37801721108264,101.211,121.30707617440461
185,152339.SH,AAA,6.50%,116.50102685281587,101.2288,119.38364294133324
186,152671.SH,AAA,6.50%,118.45235389932674,101.2822,121.38325219522189
187,197703.SH,AA+,6.50%,111.29060498502285,101.2822,114.04429821071398
188,184134.SH,AAA,6.50%,120.39886764160518,101.3,123.37792904800321
189,184123.SH,AAA,6.50%,120.47424185506266,101.4068,123.45516826579791
190,177034.SH,AA+,6.50%,108.04940248539118,101.4068,110.72289777013724
