,Symbol,Latest Bond Rating,estimated_dirty_price_SHCH,Coupon Description,calculated_dirty_price,FULL,fv_bond,HPR
266,2121046.IB,AA-,103.0723,4.95%,107.3344928,101.7359,109.9690512,0.080926705
168,2026006.IB,AAA,104.904,4.33%,105.8880935,100.4745,108.4871495,0.079748091
94,1921044.IB,A+,103.8399,4.60%,105.7132276,100.7058,108.3079914,0.075489112
151,2021013.IB,A+,102.7831,4.00%,104.8239629,100.4219,107.3968995,0.069456956
18,1821030.IB,A+,105.3985,5.60%,107.0657908,102.5775,109.6937538,0.069374412
195,2120004.IB,AAA,101.6849,3.55%,105.2734275,101.1154,107.8573963,0.066676256
240,2120101.IB,AA,101.8288,4.00%,104.1173018,100.7562,106.6728932,0.058722869
274,2126007.IB,AAA,101.0201,3.75%,103.5135832,100.411,106.0543561,0.056202568
229,2120076.IB,AA,102.5453,3.95%,104.6622067,101.6449,107.2311729,0.054958713
8,1720050.IB,AA,103.5219,5.49%,104.1788528,101.3279,106.7359549,0.053371825
237,2120096.IB,AA+,102.0129,3.81%,103.6881952,100.8664,106.233254,0.05320755
224,2120067.IB,AA,103.008,3.85%,104.6329952,101.9408,107.2012444,0.051602934
129,2020040.IB,AA+,102.3579,3.48%,103.2166315,100.5842,105.7501157,0.051359117
225,2120068.IB,AA+,102.8535,3.80%,104.4020915,101.791,106.9646731,0.05082643
0,092100009.IB,AA+,101.984,3.60%,103.5104349,101.0383,106.0511306,0.049613172
300,2221001.IB,AA,100.9984,3.60%,102.5167785,100.1282,105.0330846,0.048986046
230,2120079.IB,AA+,102.047,3.55%,103.4236889,101.0811,105.9622553,0.048289495
44,1920037.IB,AAA,105.2663,3.98%,105.5600923,103.1812,108.1510974,0.048166695
221,2120061.IB,AA+,103.3465,3.70%,104.3907725,102.1124,106.9530763,0.047405372
267,2121050.IB,AA,101.7102,3.60%,103.1680224,100.9173,105.7003134,0.047395376
117,2020011.IB,AA+,103.2707,3.80%,104.7485899,102.5166,107.3196765,0.046851695
301,2226001.IB,AAA,100.0333,3.54%,102.1600319,100.0582,104.6675814,0.046067003
219,2120054.IB,AA+,104.1414,3.85%,104.9512927,102.7928,107.5273546,0.046059205
222,2120063.IB,AA+,103.5872,3.80%,104.636982,102.4903,107.2053291,0.046004637
268,2121063.IB,AA-,100.6485,3.50%,102.4268146,100.3548,104.9409124,0.045698984
146,2021004.IB,AA-,104.6343,4.50%,106.2250906,104.0808,108.8324183,0.045653168
218,2120053.IB,AA+,103.7379,3.71%,104.5451772,102.4446,107.1112709,0.045553118
265,2121043.IB,AA,102.1474,3.50%,103.222782,101.1799,105.7564171,0.045231484
214,2120043.IB,AA+,103.8518,3.85%,105.1628119,103.1018,107.7440657,0.045026039
231,2120081.IB,AA+,102.8845,3.67%,103.711792,101.7297,106.25743,0.044507455
202,2120021.IB,AA+,104.7747,4.00%,106.0929115,104.0944,108.6969948,0.044215585
141,2020084.IB,AA+,102.2684,3.98%,102.9307526,101.0125,105.4572197,0.04400168
209,2120032.IB,AAA,104.1978,3.65%,104.9409946,103.0282,107.5168038,0.043566749
152,2021015.IB,AA,103.4117,3.90%,104.1355513,102.2866,106.6915906,0.043065177
248,2120120.IB,AA+,100.82,3.40%,102.0927322,100.2888,104.5986299,0.04297419
273,2126006.IB,AAA,101.1831,3.40%,102.1676443,100.3726,104.6753807,0.042868081
223,2120065.IB,AAA,102.5142,3.38%,103.398106,101.6387,105.9360445,0.042280593
92,1921039.IB,AA-,101.4467,4.20%,102.2003302,100.4779,104.7088689,0.042108453
232,2120082.IB,AA+,102.6616,3.68%,103.7405573,101.9964,106.2869014,0.042065224
166,2026004.IB,AAA,102.1192,3.92%,102.9221993,101.2402,105.4484565,0.04156705
205,2120027.IB,AA+,104.2533,3.80%,105.3927673,103.6871,107.9796654,0.041399223
249,2121001.IB,AA,101.4541,3.70%,102.1367627,100.557,104.6437412,0.040641041
233,2120084.IB,AAA,101.8761,3.38%,102.8208178,101.2539,105.3445866,0.040400286
95,1921045.IB,AA-,101.5723,4.60%,102.4453711,100.8899,104.9599244,0.040341247
271,2126004.IB,AAA,101.8863,3.32%,102.1713892,100.6276,104.6792176,0.040263482
296,2220001.IB,AA+,100.4402,3.30%,101.6943491,100.1587,104.1904683,0.0402538
136,2020059.IB,AA+,103.0664,4.10%,103.8448791,102.2997,106.3937837,0.040020486
213,2120039.IB,AA+,104.29,3.80%,105.261087,103.6998,107.8447529,0.039970693
143,2020089.IB,AA+,102.0748,3.80%,102.5127904,100.9944,105.0289986,0.039948735
201,2120016.IB,AAA,104.8873,3.70%,105.2721927,103.7238,107.8561313,0.03983976
285,2128018.IB,AAA,104.3743,3.53%,104.4752802,102.9525,107.0396582,0.039699456
126,2020027.IB,AA,103.2589,3.75%,104.3201543,102.8253,106.8807248,0.039439951
258,2121027.IB,AA+,103.2374,3.50%,103.8117646,102.3444,106.3598565,0.039234746
238,2120097.IB,AAA,101.4105,3.36%,102.3928342,100.9851,104.9060979,0.03882749
264,2121042.IB,AAA,102.0478,3.29%,102.6187107,101.2168,105.1375187,0.038735849
242,2120106.IB,AA+,101.4405,3.39%,102.1694732,100.7816,104.6772545,0.038654422
163,2026001.IB,AAA,103.0252,3.20%,103.5163915,102.167,106.0572333,0.0380772
297,2220003.IB,AA+,100.4839,3.22%,101.4341033,100.1147,103.9238347,0.038047707
127,2020028.IB,AA+,102.1132,3.10%,102.9971296,101.6781,105.525226,0.037836329
17,1820092.IB,AA+,102.5469,4.35%,103.5372586,102.2125,106.0786127,0.037824265
298,2220004.IB,AAA,100.3142,3.20%,101.3700297,100.1052,103.8581884,0.037490444
167,2026005.IB,AAA,102.633,4.08%,103.0659408,101.7807,105.5957262,0.037482806
91,1921035.IB,AA,101.7501,3.79%,101.9647084,100.7186,104.4674637,0.037221166
244,2120111.IB,AAA,100.9539,3.30%,101.9689258,100.728,104.4717846,0.037167268
162,2021040.IB,AA+,102.1201,3.80%,102.5603392,101.357,105.0777145,0.036709003
272,2126005.IB,AAA,100.8942,3.35%,102.1118054,100.914,104.6181712,0.036706217
119,2020015.IB,AA+,103.8979,3.80%,104.6447474,103.4388,107.213285,0.036490031
259,2121035.IB,AA+,102.2771,3.18%,102.6497696,101.5642,105.1693399,0.035496168
153,2021023.IB,AA+,103.0249,3.69%,103.3905431,102.3102,105.928296,0.035363981
256,2121024.IB,AAA,103.36,3.29%,103.44788,102.3727,105.9870402,0.035305704
263,2121041.IB,AA+,101.8838,3.15%,102.2410369,101.1803,104.7505747,0.035286264
188,2028031.IB,AAA,102.8458,3.55%,103.0469795,101.9829,105.5762995,0.035235314
6,1720032.IB,AA,104.3337,5.60%,104.7251708,103.6668,107.2956825,0.035005252
245,2120112.IB,AAA,101.1661,3.45%,102.3732266,101.3451,104.8860091,0.034939125
261,2121037.IB,AA+,102.3308,3.15%,102.4419507,101.4197,104.9564201,0.034872121
252,2121010.IB,AA+,104.7632,3.70%,105.2136382,104.1648,107.7961395,0.034861484
270,2126003.IB,AAA,103.9838,3.50%,104.1719719,103.1735,106.7289051,0.034460449
148,2021007.IB,AAA,103.2165,2.94%,103.0940524,102.1226,105.6245278,0.034291408
255,2121022.IB,AA+,103.7206,3.38%,103.7990817,102.8238,106.3468622,0.034263101
128,2020032.IB,AA+,103.1267,3.69%,103.955625,102.9804,106.5072479,0.034247759
247,2120117.IB,AAA,101.6038,3.27%,101.2766441,100.3404,103.7625106,0.034105013
160,2021034.IB,AA+,102.449,3.85%,102.8404873,101.8918,105.3647388,0.034084576
70,1920081.IB,AAA,102.9601,3.84%,103.5426479,102.6476,106.0841343,0.033478954
197,2120009.IB,AAA,105.0798,3.60%,105.1360674,104.2437,107.7166647,0.033315824
254,2121015.IB,AA+,104.7559,3.68%,105.0967958,104.2173,107.6764291,0.033191506
85,1921019.IB,AAA,105.9609,4.19%,106.3847851,105.5075,108.9960325,0.033064308
260,2121036.IB,AA+,102.3645,3.20%,102.6750957,101.8285,105.1952877,0.033063314
113,2020006.IB,AAA,104.0203,3.10%,103.7814672,102.928,106.3288154,0.033040722
262,2121040.IB,AA+,101.86,3.12%,102.1941411,101.3863,104.7025279,0.032708836
158,2021032.IB,AA+,102.6512,3.82%,102.887409,102.0986,105.4128123,0.032460898
130,2020041.IB,AA+,103.4741,3.85%,103.8788339,103.1034,106.428572,0.032250848
140,2020079.IB,AA+,102.4596,3.89%,102.9076622,102.1927,105.4335626,0.03171325
132,2020047.IB,AAA,103.0586,3.75%,103.380603,102.6663,105.9181119,0.031673605
295,2128048.IB,AAA,101.2271,3.02%,101.1687999,100.4711,103.6520194,0.031660043
251,2121005.IB,AAA,104.8554,3.56%,104.9524155,104.2485,107.528505,0.03146333
269,2126002.IB,AAA,104.7176,3.60%,104.9021415,104.2023,107.476997,0.031426341
208,2120030.IB,AAA,104.3175,3.50%,104.4861921,103.8154,107.050838,0.031165299
204,2120026.IB,AAA,104.5095,3.48%,104.4611207,103.7955,107.0251512,0.031115522
203,2120025.IB,AAA,104.503,3.50%,104.5442832,103.8784,107.110355,0.031112868
36,1920026.IB,AA+,103.2132,3.77%,103.2945507,102.6405,105.8299474,0.031073966
118,2020014.IB,AAA,103.7992,3.80%,104.6853994,104.0407,107.2549349,0.030894015
194,2120003.IB,AAA,101.6773,3.50%,101.6515263,101.0309,104.1465944,0.030839025
5,1720022.IB,AAA,103.8981,4.75%,104.0798785,103.4486,106.6345513,0.030797433
243,2120109.IB,AAA,100.6648,2.80%,100.5480534,99.948,103.0160364,0.030696326
292,2128037.IB,AAA,101.5052,3.02%,101.3929906,100.8053,103.8817129,0.030518365
123,2020024.IB,AA+,102.073,3.00%,102.8738218,102.3001,105.3988916,0.030291188
299,2220009.IB,AAA,100.0818,2.95%,100.6004741,100.0404,103.0697438,0.030281204
199,2120011.IB,AAA,104.6924,3.52%,104.8047929,104.225,107.3772589,0.030244749
283,2128014.IB,AAA,104.6339,3.55%,104.6982009,104.1207,107.2680506,0.030227905
220,2120056.IB,AAA,103.719,3.48%,103.8263529,103.2585,106.3748028,0.030179625
47,1920042.IB,AAA,105.1851,3.98%,105.5066265,104.9301,108.0963193,0.030174557
216,2120049.IB,AAA,103.5884,3.40%,103.6940267,103.1339,106.2392286,0.030109679
122,2020019.IB,AAA,102.319,3.00%,102.92662,102.383,105.4529857,0.029985307
150,2021010.IB,AA+,102.928,3.04%,103.2394393,102.6947,105.7734833,0.029979963
62,1920064.IB,AA,101.8644,4.30%,102.4688022,101.9411,104.9839306,0.029848909
164,2026002.IB,AAA,102.5031,2.95%,102.4796039,101.9571,104.9949974,0.02979584
170,2028002.IB,AAA,103.7634,3.24%,103.8410531,103.317,106.3898639,0.029742094
67,1920075.IB,AAA,101.6507,4.00%,101.9249963,101.4159,104.4267768,0.02968841
133,2020049.IB,AA+,103.1429,3.68%,103.2018354,102.7123,105.7349564,0.029428378
125,2020026.IB,AA+,102.7049,2.95%,102.7550438,102.2717,105.2771982,0.029387388
145,2021003.IB,AA+,103.1899,2.96%,103.1475749,102.6648,105.679364,0.029363171
29,1920014.IB,AAA,105.3536,3.80%,105.6863718,105.1963,108.2804765,0.029318298
89,1921029.IB,AA+,102.041,3.55%,102.1280699,101.6614,104.6348349,0.029248416
74,1920087.IB,AAA,102.7469,3.80%,103.3485764,102.8803,105.8852992,0.029208694
250,2121004.IB,AAA,104.9997,3.58%,105.1027308,104.6273,107.6825098,0.029200885
155,2021027.IB,AA+,102.9571,3.80%,103.2646902,102.8059,105.799354,0.029117531
226,2120070.IB,AAA,102.0974,3.16%,102.4465212,101.9931,104.9611027,0.029100034
200,2120012.IB,AAA,104.8385,3.57%,104.9314867,104.4696,107.5070624,0.029075084
211,2120034.IB,AAA,104.2044,3.38%,104.0790901,103.6604,106.6337436,0.028683505
239,2120098.IB,AAA,101.4602,3.10%,101.6467675,101.2443,104.1417188,0.028618093
