,WINDCODE,SEC_NAME,PRE_CLOSE,OPEN,HIGH,LOW,CLOSE,VOLUME,TURN,ADJFACTOR,EXCH_ENG,TRADE_CODE,CBNAME,CBWINDCODE
2022-01-04,600566.SH,济川药业,28.34,29.53,31.17,29.51,31.1,50359517.0,5.669373695860566,2.207174,SSE,600566,济川转债,110038.SH
2022-01-05,600566.SH,济川药业,31.1,31.0,31.01,28.77,28.97,43134678.0,4.856015772204794,2.207174,SSE,600566,济川转债,110038.SH
2022-01-06,600566.SH,济川药业,28.97,28.51,30.42,28.31,29.95,34463847.0,3.87987096143045,2.207174,SSE,600566,济川转债,110038.SH
2022-01-07,600566.SH,济川药业,29.950000000000003,29.44,30.11,28.58,28.88,26449330.0,2.977612668031263,2.207174,SSE,600566,济川转债,110038.SH
2022-01-10,600566.SH,济川药业,28.88,28.5,29.5,28.27,28.71,21866827.0,2.4617236461130796,2.207174,SSE,600566,济川转债,110038.SH
2022-01-11,600566.SH,济川药业,28.71,28.88,29.61,28.42,28.75,20279514.0,2.2830271234816664,2.207174,SSE,600566,济川转债,110038.SH
2022-01-12,600566.SH,济川药业,28.75,28.4,28.95,27.89,28.2,21597477.0,2.4314007618610316,2.207174,SSE,600566,济川转债,110038.SH
2022-01-13,600566.SH,济川药业,28.2,27.58,27.7,26.5,26.72,25480651.0,2.8685607237417154,2.207174,SSE,600566,济川转债,110038.SH
2022-01-14,600566.SH,济川药业,26.72,26.75,28.61,26.56,27.46,21274319.0,2.395020280594563,2.207174,SSE,600566,济川转债,110038.SH
2022-01-17,600566.SH,济川药业,27.46,27.6,28.57,27.47,27.77,14790165.0,1.6650471927369277,2.207174,SSE,600566,济川转债,110038.SH
2022-01-18,600566.SH,济川药业,27.77,28.0,28.58,27.08,27.43,14290306.0,1.608774066323917,2.207174,SSE,600566,济川转债,110038.SH
2022-01-19,600566.SH,济川药业,27.43,27.0,27.0,25.38,25.86,23742384.0,2.672870101725177,2.207174,SSE,600566,济川转债,110038.SH
2022-01-20,600566.SH,济川药业,25.86,26.34,27.33,26.0,26.58,18132647.0,2.0413371307378703,2.207174,SSE,600566,济川转债,110038.SH
2022-01-21,600566.SH,济川药业,26.58,26.52,26.9,25.86,26.3,11964807.0,1.3469740403159223,2.207174,SSE,600566,济川转债,110038.SH
2022-01-24,600566.SH,济川药业,26.3,25.97,26.1,25.2,25.9,13776545.000000002,1.5509358805573812,2.207174,SSE,600566,济川转债,110038.SH
2022-01-25,600566.SH,济川药业,25.9,25.66,26.07,24.5,24.65,10701385.0,1.2047405186248474,2.207174,SSE,600566,济川转债,110038.SH
2022-01-26,600566.SH,济川药业,24.65,25.09,25.15,24.1,24.57,10779032.0,1.213481862577024,2.207174,SSE,600566,济川转债,110038.SH
2022-01-04,600908.SH,无锡银行,5.67,5.66,5.71,5.65,5.71,18760800.0,1.0637183284888445,1.143067,SSE,600908,无锡转债,110043.SH
2022-01-05,600908.SH,无锡银行,5.71,5.74,5.77,5.71,5.74,27474546.000000004,1.557778887206829,1.143067,SSE,600908,无锡转债,110043.SH
2022-01-06,600908.SH,无锡银行,5.74,5.74,5.77,5.63,5.68,24299889.0,1.3777790557729128,1.143067,SSE,600908,无锡转债,110043.SH
2022-01-07,600908.SH,无锡银行,5.68,5.69,5.84,5.68,5.79,38481238.0,2.1818471580924803,1.143067,SSE,600908,无锡转债,110043.SH
2022-01-10,600908.SH,无锡银行,5.79,5.83,5.89,5.77,5.85,27388312.0,1.5528895068851523,1.143067,SSE,600908,无锡转债,110043.SH
2022-01-11,600908.SH,无锡银行,5.85,5.85,6.0,5.83,5.92,36706588.0,2.08122630335,1.143067,SSE,600908,无锡转债,110043.SH
2022-01-12,600908.SH,无锡银行,5.92,5.93,5.98,5.86,5.97,31988936.0,1.8137402206759108,1.143067,SSE,600908,无锡转债,110043.SH
2022-01-13,600908.SH,无锡银行,5.97,5.92,6.12,5.92,6.0,35486427.0,2.0120444124174557,1.143067,SSE,600908,无锡转债,110043.SH
2022-01-14,600908.SH,无锡银行,6.0,5.98,6.03,5.86,5.89,29861103.999999996,1.6930943048117109,1.143067,SSE,600908,无锡转债,110043.SH
2022-01-17,600908.SH,无锡银行,5.89,5.9,5.97,5.83,5.93,25294662.0,1.4341816757457195,1.143067,SSE,600908,无锡转债,110043.SH
2022-01-18,600908.SH,无锡银行,5.93,5.92,6.06,5.9,6.05,31608365.000000004,1.7921622310384047,1.143067,SSE,600908,无锡转债,110043.SH
2022-01-19,600908.SH,无锡银行,6.05,6.01,6.09,6.0,6.08,21606338.0,1.2250574464908215,1.143067,SSE,600908,无锡转债,110043.SH
2022-01-20,600908.SH,无锡银行,6.08,6.06,6.18,6.05,6.1,27585140.999999996,1.564049511515985,1.143067,SSE,600908,无锡转债,110043.SH
2022-01-21,600908.SH,无锡银行,6.1,6.08,6.12,6.03,6.07,16617300.0,0.9421840529187282,1.143067,SSE,600908,无锡转债,110043.SH
2022-01-24,600908.SH,无锡银行,6.07,6.08,6.12,5.96,6.06,21228010.0,1.2036066326779495,1.143067,SSE,600908,无锡转债,110043.SH
2022-01-25,600908.SH,无锡银行,6.06,6.03,6.05,5.88,5.89,20192983.0,1.1449216517399927,1.143067,SSE,600908,无锡转债,110043.SH
2022-01-26,600908.SH,无锡银行,5.89,5.89,6.0,5.89,5.95,16686838.0,0.9461267869773216,1.143067,SSE,600908,无锡转债,110043.SH
2022-01-04,600831.SH,广电网络,6.19,6.19,6.37,6.13,6.32,25808628.0,3.6325296788279102,6.431323,SSE,600831,广电转债,110044.SH
2022-01-05,600831.SH,广电网络,6.32,6.28,6.41,6.19,6.28,22146480.0,3.11708727335559,6.431323,SSE,600831,广电转债,110044.SH
2022-01-06,600831.SH,广电网络,6.28,6.27,6.32,6.12,6.16,14970771.0,2.1071158828139254,6.431323,SSE,600831,广电转债,110044.SH
2022-01-07,600831.SH,广电网络,6.16,6.15,6.57,6.1,6.14,31407000.0,4.420493008111403,6.431323,SSE,600831,广电转债,110044.SH
2022-01-10,600831.SH,广电网络,6.14,6.05,6.22,5.96,6.14,17043421.0,2.3988385826344145,6.431323,SSE,600831,广电转债,110044.SH
2022-01-11,600831.SH,广电网络,6.14,6.14,6.38,6.12,6.23,23395782.0,3.292924849565339,6.431323,SSE,600831,广电转债,110044.SH
2022-01-12,600831.SH,广电网络,6.23,6.14,6.4,6.04,6.31,26336021.000000004,3.706759534243165,6.431323,SSE,600831,广电转债,110044.SH
2022-01-13,600831.SH,广电网络,6.31,6.36,6.4,6.19,6.2,19266072.0,2.7116737214560724,6.431323,SSE,600831,广电转债,110044.SH
2022-01-14,600831.SH,广电网络,6.200000000000001,6.15,6.25,6.05,6.05,18164496.0,2.556628381057329,6.431323,SSE,600831,广电转债,110044.SH
2022-01-17,600831.SH,广电网络,6.05,6.1,6.33,6.08,6.3,16684943.0,2.348383286281316,6.431323,SSE,600831,广电转债,110044.SH
2022-01-18,600831.SH,广电网络,6.300000000000001,6.36,6.93,6.33,6.52,63768673.0,8.975354956953622,6.431323,SSE,600831,广电转债,110044.SH
2022-01-19,600831.SH,广电网络,6.52,6.44,7.09,6.32,6.94,77521834.0,10.91109386993259,6.431323,SSE,600831,广电转债,110044.SH
2022-01-20,600831.SH,广电网络,6.94,6.79,6.84,6.5,6.62,61007282.99999999,8.586693028476887,6.431323,SSE,600831,广电转债,110044.SH
2022-01-21,600831.SH,广电网络,6.62,6.4,6.75,6.38,6.46,35264773.0,4.963469369221377,6.431323,SSE,600831,广电转债,110044.SH
2022-01-24,600831.SH,广电网络,6.46,6.36,6.44,6.15,6.29,23297312.0,3.2790653295058387,6.431323,SSE,600831,广电转债,110044.SH
2022-01-25,600831.SH,广电网络,6.29,6.3,6.32,5.81,5.87,27439819.0,3.862117618153355,6.431323,SSE,600831,广电转债,110044.SH
2022-01-26,600831.SH,广电网络,5.87,5.88,5.98,5.73,5.81,13351385.0,1.8791894813609533,6.431323,SSE,600831,广电转债,110044.SH
2022-01-04,600398.SH,海澜之家,6.41,6.41,6.5,6.39,6.49,18563910.0,0.4297596572790037,8.63427,SSE,600398,海澜转债,110045.SH
2022-01-05,600398.SH,海澜之家,6.49,6.48,6.64,6.45,6.53,20248591.0,0.46876048895640626,8.63427,SSE,600398,海澜转债,110045.SH
2022-01-06,600398.SH,海澜之家,6.53,6.5,6.56,6.48,6.54,11676458.0,0.27031323618314684,8.63427,SSE,600398,海澜转债,110045.SH
2022-01-07,600398.SH,海澜之家,6.54,6.54,6.62,6.53,6.57,13915049.0,0.32213723775112807,8.63427,SSE,600398,海澜转债,110045.SH
2022-01-10,600398.SH,海澜之家,6.57,6.59,6.62,6.53,6.59,12131669.0,0.2808514968916739,8.63427,SSE,600398,海澜转债,110045.SH
