,600519.SH,000858.SZ,000568.SZ,600809.SH,002304.SZ,000799.SZ,600132.SH,000596.SZ,600600.SH,002568.SZ,688660.SH
2020-01-20,1091.0,137.56,90.59,95.9,113.6,39.62,51.52,146.93,51.9,28.87,
2020-01-21,1075.3,132.62,87.26,94.5,109.52,38.96,49.22,146.72,49.8,28.38,
2020-01-22,1075.51,131.7,87.51,95.48,111.67,38.96,49.3,147.38,49.73,28.68,
2020-01-23,1052.8,126.16,82.65,91.68,107.16,37.02,47.91,143.2,48.33,27.16,
2020-02-03,1003.92,113.54,74.39,82.51,96.5,33.32,43.2,128.88,43.5,24.44,
2020-02-04,1038.01,114.5,72.12,79.75,99.55,31.63,45.35,127.0,45.05,24.05,
2020-02-05,1049.99,117.51,72.4,81.28,102.84,32.15,45.57,125.33,44.81,24.01,
2020-02-06,1071.0,119.15,73.89,82.41,102.83,32.55,47.49,124.89,45.08,24.02,
2020-02-07,1076.0,120.58,74.76,85.21,102.44,32.45,49.91,122.28,45.61,23.4,
2020-02-10,1066.49,121.13,73.72,85.8,100.78,32.81,49.6,123.3,45.11,25.0,
2020-02-11,1098.0,124.79,77.4,87.4,102.42,33.45,49.6,124.4,45.55,25.68,
2020-02-12,1097.27,124.49,77.49,87.59,104.46,33.32,49.38,124.21,45.73,26.67,
2020-02-13,1091.0,124.14,77.5,87.85,102.73,32.71,49.4,122.58,44.98,26.79,
2020-02-14,1088.0,123.43,77.72,87.35,102.72,32.58,49.15,121.3,45.0,26.59,
2020-02-17,1093.82,124.3,78.22,87.4,103.31,33.24,48.96,123.35,45.5,26.76,
2020-02-18,1084.0,123.39,77.7,86.66,101.93,33.46,48.5,123.0,45.5,28.36,
2020-02-19,1096.5,126.0,79.03,87.85,101.95,34.29,49.87,124.3,45.54,29.06,
2020-02-20,1118.0,130.15,82.77,91.23,104.79,35.7,50.22,132.81,46.5,29.43,
2020-02-21,1112.88,130.0,82.69,90.26,104.21,35.38,48.39,133.48,46.22,29.13,
