证券代码,证券简称,"收盘价
[交易日期] 2022-01-27
[债券价格类型] 收益率
[单位] 元","收盘价
[交易日期] 2022-01-27
[债券价格类型] 净价
[单位] 元","收盘价
[交易日期] 2022-01-27
[债券价格类型] 全价
[单位] 元","报价买入收益率(最优)
[交易日期] 2022-01-27
[单位] %","剩余期限(年)
[日期] 最新
[单位] 年","债券初始面值
[单位] 元",最新债项评级,到期日期,利率类型,计息方式,利率说明,每年付息次数,Coupon Date,"债券期限(年)
[单位] 年",债券期限(文字),计息基准,付息日说明,"债券期限(年)
[单位] 年","发行总额
[单位] (100M)元"
091501005.IB,15中国信达债05,3.2717,104.4932,106.0685,,3.6411,100.0000,AAA,2025-09-24,固定利率,单利,4.60%,1,9月24日,10.0000,10,ACT/ACT,"每年9月24日付息,节假日顺延",10.0000,"10,000,000,000.0000"
091701002.IB,17中国信达债02,2.3839,100.4058,103.8776,,0.1945,100.0000,AAA,2022-04-14,固定利率,单利,4.40%,1,4月14日,5.0000,5,ACT/ACT,"每年4月14日付息,节假日顺延",5.0000,"4,000,000,000.0000"
091701003.IB,17中国信达债03,3.5195,105.7530,109.5009,,5.1945,100.0000,AAA,2027-04-14,固定利率,单利,4.75%,1,4月14日,10.0000,10,ACT/ACT,"每年4月14日付息,节假日顺延",10.0000,"24,000,000,000.0000"
091702001.IB,17华融二级资本债01,6.3227,93.8256,96.7007,,5.4027,100.0000,AAA,2027-06-29,固定利率,单利,4.95%,1,6月29日,10.0000,5+5,ACT/ACT,"每年6月29日付息,节假日顺延",10.0000,"10,000,000,000.0000"
091721001.IB,17东方二级资本债01,4.6214,101.3242,103.2171,,5.5973,100.0000,AAA,2027-09-08,固定利率,单利,4.90%,1,9月8日,10.0000,5+5,ACT/ACT,"每年9月8日付息,节假日顺延",10.0000,"4,000,000,000.0000"
091800003.IB,18中国信达债01,3.6514,109.7929,109.8230,,5.9781,100.0000,AAA,2028-01-25,固定利率,单利,5.5%,1,1月25日,10.0000,10,ACT/ACT,"每年1月25日付息,节假日顺延",10.0000,"15,000,000,000.0000"
091800005.IB,18中国信达债02,3.6686,109.8761,114.6829,,6.1096,100.0000,AAA,2028-03-14,固定利率,单利,5.5%,1,3月14日,10.0000,10,ACT/ACT,"每年3月14日付息,节假日顺延",10.0000,"11,000,000,000.0000"
091800007.IB,18长城二级资本债01,4.4702,102.2938,105.7037,,6.2877,100.0000,AAA,2028-05-18,固定利率,单利,4.90%,1,5月18日,10.0000,5+5,ACT/ACT,"每年5月18日付息,节假日顺延",10.0000,"7,500,000,000.0000"
091800009.IB,18东方债01BC(品种二),3.6468,107.2173,109.7380,,6.4712,100.0000,AAA,2028-07-24,固定利率,单利,4.92%,1,7月24日,10.0000,10,ACT/ACT,"每年7月24日付息,节假日顺延",10.0000,"10,000,000,000.0000"
091800011.IB,18东方债02BC(品种二),3.0405,102.1656,104.1752,,1.5370,100.0000,AAA,2023-08-17,固定利率,单利,4.50%,1,8月17日,5.0000,5,ACT/ACT,"每年8月17日付息,节假日顺延",5.0000,"1,000,000,000.0000"
091800012.IB,18东方债02BC(品种三),3.6568,107.2225,109.4197,,6.5370,100.0000,AAA,2028-08-17,固定利率,单利,4.92%,1,8月17日,10.0000,10,ACT/ACT,"每年8月17日付息,节假日顺延",10.0000,"5,000,000,000.0000"
